Player,Tm,FantPos,Age,G,GS,Cmp,QBAtt,QBYds,QBY/A,QBTD,Int,RBAtt,RBYds,Y/A,RBTD,Tgt,Rec,WRYds,Y/R,WRTD,Fmb,FL,TOTTD,2PM,2PP,FantPt,PPRPt,DKPt,FDPt,VBD,PosRank,QBTD/G,Cmp/G,QBAtt/G,QBYds/G,Int/G,RBAtt/G,RBYds/G,Rec/G,WRYds/G,WRTD/G,Fmb/G,TOTTD/G,2PM/G,FantPt/G,PPR/G,QBPt/G,RBPt/G,WRPt/G,WRPPRPt/G,QB,RB,WR,TE,3Cat,6Cat
FaulMa00,STL,RB,26,16,16,0,1,0,0.0,0,0,253,1381,5.46,7,103.0,87,1048,12.05,5,2,2.0,12,1.0,0.0,313.0,399.9,407.9,356.4,187.0,1,0.0,0.0,0.06,0.0,0.0,15.81,86.31,5.44,65.5,0.31,0.12,0.75,0.06,19.56,24.99,0.0,11.01,8.43,13.86,0,1,0,0,2,4
JameEd00,IND,RB,21,16,16,0,0,0,0.0,0,0,369,1553,4.21,13,82.0,62,586,9.45,4,8,4.0,17,0.0,0.0,308.0,369.9,379.9,338.9,182.0,2,0.0,0.0,0.0,0.0,0.0,23.06,97.06,3.88,36.62,0.25,0.5,1.06,0.0,19.25,23.12,0.0,14.08,5.16,9.04,0,1,0,0,2,4
WarnKu00,STL,QB,28,16,16,325,499,4353,8.72,41,13,23,92,4.0,1,0.0,0,0,0.0,0,9,5.0,1,0.0,1.0,319.0,319.3,340.3,332.3,131.0,1,2.56,20.31,31.19,272.06,0.81,1.44,5.75,0.0,0.0,0.0,0.56,0.06,0.0,19.94,19.96,19.51,0.32,0.0,0.0,1,0,0,0,2,4
DaviSt00,WAS,RB,25,14,14,0,0,0,0.0,0,0,290,1405,4.84,17,28.0,23,111,4.83,0,4,1.0,17,1.0,0.0,254.0,276.6,283.6,265.1,128.0,3,0.0,0.0,0.0,0.0,0.0,20.71,100.36,1.64,7.93,0.0,0.29,1.21,0.07,18.14,19.76,0.0,17.18,0.79,2.44,0,1,0,0,2,3
GeorEd00,TEN,RB,26,16,16,0,0,0,0.0,0,0,320,1304,4.08,9,65.0,47,458,9.74,4,5,4.0,13,0.0,0.0,246.0,293.2,303.2,269.7,120.0,4,0.0,0.0,0.0,0.0,0.0,20.0,81.5,2.94,28.62,0.25,0.31,0.81,0.0,15.38,18.32,0.0,11.02,4.36,7.3,0,1,0,0,2,3
HarrMa00,IND,WR,27,16,16,0,0,0,0.0,0,0,1,4,4.0,0,184.0,115,1663,14.46,12,2,1.0,12,1.0,0.0,239.0,353.7,357.7,296.2,115.0,1,0.0,0.0,0.0,0.0,0.0,0.06,0.25,7.19,103.94,0.75,0.12,0.75,0.06,14.94,22.11,0.0,-0.1,14.89,22.08,0,0,1,0,2,3
BeueSt00,CAR,QB,34,16,16,343,571,4436,7.77,36,15,27,124,4.59,2,0.0,0,0,0.0,0,12,8.0,2,0.0,0.0,300.0,299.8,328.8,314.8,111.0,2,2.25,21.44,35.69,277.25,0.94,1.69,7.75,0.0,0.0,0.0,0.75,0.12,0.0,18.75,18.74,18.22,0.52,0.0,0.0,1,0,0,0,2,4
SmitEm00,DAL,RB,30,15,15,0,0,0,0.0,0,0,329,1397,4.25,11,32.0,27,119,4.41,2,5,3.0,13,0.0,0.0,224.0,250.6,259.6,237.1,98.0,5,0.0,0.0,0.0,0.0,0.0,21.93,93.13,1.8,7.93,0.13,0.33,0.87,0.0,14.93,16.71,0.0,13.31,1.59,3.39,0,1,0,0,2,3
MossRa00,MIN,WR,22,16,16,1,1,27,27.0,1,0,4,43,10.75,0,137.0,80,1413,17.66,11,3,1.0,12,0.0,0.0,221.0,300.7,304.7,260.7,97.0,2,0.06,0.06,0.06,1.69,0.0,0.25,2.69,5.0,88.31,0.69,0.19,0.75,0.0,13.81,18.79,0.32,0.14,12.96,17.96,0,0,1,0,2,3
WallWe00,CAR,TE,33,16,16,0,0,0,0.0,0,0,0,0,0.0,0,108.0,63,822,13.05,12,1,1.0,12,0.0,0.0,152.0,215.2,219.2,183.7,94.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.94,51.38,0.75,0.06,0.75,0.0,9.5,13.45,0.0,-0.12,9.64,13.58,0,0,0,1,2,2
GonzTo00,KAN,TE,23,15,15,0,0,0,0.0,0,0,0,0,0.0,0,104.0,76,849,11.17,11,2,1.0,11,0.0,0.0,149.0,224.9,228.9,186.9,90.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.07,56.6,0.73,0.13,0.73,0.0,9.93,14.99,0.0,-0.13,10.06,15.13,0,0,0,1,2,2
LeveDo00,GNB,RB,29,14,14,0,0,0,0.0,0,0,279,1034,3.71,9,81.0,71,573,8.07,1,5,5.0,10,0.0,0.0,211.0,281.7,292.7,246.2,85.0,6,0.0,0.0,0.0,0.0,0.0,19.93,73.86,5.07,40.93,0.07,0.36,0.71,0.0,15.07,20.12,0.0,10.53,4.52,9.59,0,1,0,0,2,3
GarnCh00,SFO,RB,27,16,15,0,0,0,0.0,0,0,241,1229,5.1,4,76.0,56,535,9.55,2,4,2.0,6,0.0,0.0,208.0,264.4,272.4,236.4,82.0,7,0.0,0.0,0.0,0.0,0.0,15.06,76.81,3.5,33.44,0.12,0.25,0.38,0.0,13.0,16.52,0.0,8.93,4.09,7.59,0,1,0,0,2,3
CartCr00,MIN,WR,34,16,16,0,0,0,0.0,0,0,0,0,0.0,0,137.0,90,1241,13.79,13,0,0.0,13,0.0,0.0,202.0,292.1,295.1,247.1,78.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.62,77.56,0.81,0.0,0.81,0.0,12.62,18.26,0.0,0.0,12.63,18.26,0,0,1,0,2,3
MartCu00,NYJ,RB,26,16,16,0,0,0,0.0,0,0,367,1464,3.99,5,49.0,45,259,5.76,0,2,0.0,5,0.0,0.0,202.0,247.3,253.3,224.8,76.0,8,0.0,0.0,0.0,0.0,0.0,22.94,91.5,2.81,16.19,0.0,0.12,0.31,0.0,12.62,15.46,0.0,11.02,1.62,4.43,0,1,0,0,2,3
SmitJi00,JAX,WR,30,16,16,0,0,0,0.0,0,0,0,0,0.0,0,173.0,116,1636,14.1,6,1,1.0,6,1.0,0.0,200.0,315.6,319.6,257.6,76.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25,102.25,0.38,0.06,0.38,0.06,12.5,19.73,0.0,-0.12,12.48,19.73,0,0,1,0,2,3
RobiMa00,CHI,WR,24,16,11,0,0,0,0.0,0,0,0,0,0.0,0,149.0,84,1400,16.67,9,0,0.0,9,0.0,0.0,194.0,278.0,281.0,236.0,70.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.25,87.5,0.56,0.0,0.56,0.0,12.12,17.38,0.0,0.0,12.12,17.38,0,0,1,0,2,2
BrucIs00,STL,WR,27,16,16,0,0,0,0.0,0,0,5,32,6.4,0,120.0,77,1165,15.13,12,0,0.0,12,1.0,0.0,194.0,270.7,273.7,232.2,70.0,6,0.0,0.0,0.0,0.0,0.0,0.31,2.0,4.81,72.81,0.75,0.0,0.75,0.06,12.12,16.92,0.0,0.2,11.78,16.59,0,0,1,0,2,2
GannRi00,OAK,QB,34,16,16,304,515,3840,7.46,24,14,46,298,6.48,2,1.0,1,-3,-3.0,0,8,4.0,2,0.0,1.0,257.0,258.1,282.1,271.6,69.0,3,1.5,19.0,32.19,240.0,0.88,2.88,18.62,0.06,-0.19,0.0,0.5,0.12,0.0,16.06,16.13,13.85,2.11,-0.02,0.04,1,0,0,0,2,3
WattRi00,SEA,RB,30,16,16,0,0,0,0.0,0,0,325,1210,3.72,5,62.0,40,387,9.68,2,4,4.0,7,0.0,0.0,194.0,233.7,243.7,213.7,68.0,9,0.0,0.0,0.0,0.0,0.0,20.31,75.62,2.5,24.19,0.12,0.25,0.44,0.0,12.12,14.61,0.0,8.94,3.17,5.67,0,1,0,0,2,2
MannPe00,IND,QB,23,16,16,331,533,4135,7.76,26,15,35,73,2.09,2,0.0,0,0,0.0,0,6,3.0,2,0.0,1.0,255.0,254.7,275.7,269.7,66.0,4,1.62,20.69,33.31,258.44,0.94,2.19,4.56,0.0,0.0,0.0,0.38,0.12,0.0,15.94,15.92,14.96,0.83,0.0,0.0,1,0,0,0,2,3
StalDu00,PHI,RB,24,16,16,0,0,0,0.0,0,0,325,1273,3.92,4,66.0,41,294,7.17,2,5,4.0,6,0.0,0.0,185.0,225.7,235.7,205.2,59.0,10,0.0,0.0,0.0,0.0,0.0,20.31,79.56,2.56,18.38,0.12,0.31,0.38,0.0,11.56,14.11,0.0,8.96,2.59,5.15,0,1,0,0,2,2
JeffPa00,CAR,WR,26,15,10,0,0,0,0.0,0,0,2,16,8.0,0,101.0,63,1082,17.17,12,0,0.0,12,0.0,0.0,182.0,244.8,247.8,213.3,58.0,7,0.0,0.0,0.0,0.0,0.0,0.13,1.07,4.2,72.13,0.8,0.0,0.8,0.0,12.13,16.32,0.0,0.11,12.01,16.21,0,0,1,0,2,2
CrowGe00,DET,WR,23,16,15,0,0,0,0.0,0,0,5,38,7.6,0,148.0,81,1338,16.52,7,1,1.0,7,1.0,0.0,180.0,260.6,264.6,220.1,56.0,8,0.0,0.0,0.0,0.0,0.0,0.31,2.38,5.06,83.62,0.44,0.06,0.44,0.06,11.25,16.29,0.0,0.11,10.99,16.05,0,0,1,0,2,2
DillCo00,CIN,RB,25,15,15,0,0,0,0.0,0,0,263,1200,4.56,5,49.0,31,290,9.35,1,3,2.0,6,0.0,0.0,181.0,212.0,220.0,196.5,55.0,11,0.0,0.0,0.0,0.0,0.0,17.53,80.0,2.07,19.33,0.07,0.2,0.4,0.0,12.07,14.13,0.0,9.73,2.33,4.4,0,1,0,0,2,2
WestMi00,WAS,WR,27,16,16,0,0,0,0.0,0,0,7,35,5.0,0,114.0,65,1191,18.32,9,3,1.0,9,1.0,0.0,177.0,241.6,245.6,209.1,53.0,9,0.0,0.0,0.0,0.0,0.0,0.44,2.19,4.06,74.44,0.56,0.19,0.56,0.06,11.06,15.1,0.0,0.09,10.82,14.88,0,0,1,0,2,2
DudlRi00,OAK,TE,27,16,16,0,0,0,0.0,0,0,0,0,0.0,0,59.0,39,555,14.23,9,0,0.0,9,0.0,0.0,110.0,148.5,151.5,129.0,51.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44,34.69,0.56,0.0,0.56,0.0,6.88,9.28,0.0,0.0,6.84,9.28,0,0,0,1,1,1
StewJa00,JAX,RB,28,14,7,0,0,0,0.0,0,0,249,931,3.74,13,24.0,21,108,5.14,0,4,3.0,13,0.0,0.0,176.0,196.9,205.9,186.4,50.0,12,0.0,0.0,0.0,0.0,0.0,17.79,66.5,1.5,7.71,0.0,0.29,0.93,0.0,12.57,14.06,0.0,11.79,0.77,2.27,0,1,0,0,2,2
